"loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_flat_parameter_corr","sd_flat_parameter_corr","lower_flat_parameter_corr","upper_flat_parameter_corr"
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,100,500,25,0.313975125254956,0.0475773357927877,0.218820453669381,0.409129796840532,1.0046976183775,0.0714699714721991,0.861757675433101,1.1476375613219,1.03992470683236,0.107501863513111,0.824920979806143,1.25492843385859,1.06021951767602,0.0628616878856365,0.934496141904752,1.1859428934473,0.107839866645924,0.000682629541413597,0.106474607563096,0.109205125728751,0.622187398357305,0.0743002177320541,0.473586962893197,0.770787833821414
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,500,500,25,0.097487133945296,0.00944041317529186,0.0786063075947123,0.11636796029588,0.0898280896510445,0.00403003583866651,0.0817680179737115,0.0978881613283775,0.25837960516379,0.0568747346540205,0.144630135855749,0.372129074471831,0.157495048897636,0.0227851662802207,0.111924716337194,0.203065381458077,0.00639198891829052,0.00129369327768206,0.00380460236292639,0.00897937547365464,0.977935788785544,0.00410826805662737,0.969719252672289,0.986152324898799
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,500,500,25,0.102318971575295,0.0129404397431323,0.0764380920890306,0.12819985106156,0.379225286006095,0.171635381908004,0.035954522190086,0.722496049822104,0.987420906493514,0.59707697704852,-0.206733047603525,2.18157486059055,0.807160241699757,0.213127568155369,0.380905105389018,1.23341537801049,0.0658254845709394,0.00758620238577349,0.0506530797993924,0.0809978893424863,0.73062685070288,0.0718549205253877,0.586917009652105,0.874336691753656
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,1000,500,25,0.0688159614149469,0.00671131472234531,0.0553933319702562,0.0822385908596375,0.0624626499500408,0.00238604764254467,0.0576905546649514,0.0672347452351301,0.219080557259004,0.0462669935846172,0.12654657008977,0.311614544428239,0.154762341078669,0.0212704840504015,0.112221372977866,0.197303309179472,0.00570908746380253,0.00136110788430437,0.0029868716951938,0.00843130323241126,0.984815788965952,0.00367126056398113,0.977473267837989,0.992158310093914
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,1000,500,25,0.0689069776013422,0.00695569828684453,0.0549955810276532,0.0828183741750313,0.255341699194362,0.100470167654985,0.0544013638843913,0.456282034504333,0.727048064258253,0.00848291959372382,0.710082225070805,0.7440139034457,0.699389994338791,0.00421679505414647,0.690956404230498,0.707823584447084,0.0494042801797034,0.0042445143237314,0.0409152515322406,0.0578933088271662,0.77689726221476,0.047388169798542,0.682120922617677,0.871673601811845
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,2000,500,25,0.0464807635137834,0.00404345989104639,0.0383938437316906,0.0545676832958762,0.0443260159294893,0.00150636127407659,0.0413132933813361,0.0473387384776425,0.222947117969139,0.0418872888025742,0.139172540363991,0.306721695574287,0.161434370933072,0.0296543337140346,0.102125703505003,0.220743038361141,0.00601148052196288,0.00125655821289136,0.00349836409618016,0.0085245969477456,0.986584838505078,0.00346117734835767,0.979662483808363,0.993507193201793
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,2000,500,25,0.0458698537673831,0.00388382547980326,0.0381022028077766,0.0536375047269896,0.211730984720787,0.0871524311263444,0.037426122468098,0.386035846973476,0.717430392277641,0.00859499239663777,0.700240407484365,0.734620377070916,0.684783877236694,0.00520823944605793,0.674367398344578,0.69520035612881,0.0405599675929061,0.00221217655605994,0.0361356144807862,0.044984320705026,0.800119221190463,0.0370462531306925,0.726026714929078,0.874211727451848
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,0.359690196300503,0.0861570364786886,0.187376123343126,0.532004269257881,0.259386158433435,0.0358014344356326,0.187783289562169,0.3309890273047,0.112502787442983,0.0589835261229714,-0.00546426480295954,0.230469839688926,0.0686187562246289,0.0160976945790161,0.0364233670665968,0.100814145382661,0.0252289790597372,0.0132616066270034,-0.00129423419426957,0.0517521923137441,0.927426089058143,0.0180406447677556,0.891344799522632,0.963507378593655
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.32392975926706,0.0581654225370226,0.207598914193015,0.440260604341105,0.920520888746638,0.13416124631961,0.652198396107418,1.18884338138586,2.11661566234942,0.574737963967785,0.967139734413852,3.26609159028499,1.10863173353959,0.0996806203459931,0.909270492847607,1.30799297423158,0.313887076666073,0.0276612693788896,0.258564537908294,0.369209615423852,0.74398625550383,0.0742312664712651,0.5955237225613,0.89244878844636
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,0.11160684797238,0.0143455044901253,0.0829158389921297,0.140297856952631,0.0882810458102454,0.00411018832228947,0.0800606691656664,0.0965014224548243,0.0485022166885235,0.0153384440199915,0.0178253286485406,0.0791791047285065,0.0416359526214703,0.0125246952368756,0.016586562147719,0.0666853430952216,0.010346456544776,0.00381558093032233,0.00271529468413138,0.0179776184054207,0.988646696343377,0.0014024492796708,0.985841797784035,0.991451594902718
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.112340557616002,0.0145055335561203,0.0833294905037611,0.141351624728242,0.173765485010547,0.0946433945697249,-0.0155213041289032,0.363052274149996,0.718488685415061,0.728662395136531,-0.738836104858001,2.17581347568812,0.528618075641593,0.142474628221762,0.243668819198068,0.813567332085117,0.09154642247605,0.0170575793941923,0.0574312636876653,0.125661581264435,0.952257361248989,0.0439562599355076,0.864344841377974,1.04016988112
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,25,0.0726661364618173,0.00722665687209471,0.0582128227176278,0.0871194502060067,0.0595779689581908,0.00201022319815426,0.0555575225618823,0.0635984153544994,0.0377722401706274,0.011023349167888,0.0157255418348514,0.0598189385064034,0.0372123701776138,0.0102737633850784,0.016664843407457,0.0577598969477706,0.00771298420980558,0.002919855240013,0.00187327372977957,0.0135526946898316,0.994686637806364,0.000436895941190187,0.993812845923984,0.995560429688744
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,0.0729749676792495,0.00830735712660617,0.0563602534260372,0.0895896819324619,0.0824332773267628,0.0300525131862788,0.0223282509542053,0.14253830369932,0.495016137122985,0.0854441485632665,0.324127839996452,0.665904434249518,0.479651939494913,0.0939789973647706,0.291693944765372,0.667609934224454,0.0839223944390144,0.0192508611049084,0.0454206722291976,0.122424116648831,0.983030964181036,0.00820884981583336,0.96661326454937,0.999448663812703
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,2000,500,25,0.048961802382057,0.00325020764517208,0.0424613870917128,0.0554622176724012,0.0414586185490322,0.000949011678682267,0.0395605951916676,0.0433566419063967,0.0246955062180221,0.00557151187847377,0.0135524824610746,0.0358385299749697,0.0365545921581285,0.00744268885707725,0.021669214443974,0.051439969872283,0.00417133837664556,0.00150709762620477,0.00115714312423602,0.00718553362905509,0.997418490126375,0.000150529004297928,0.99711743211778,0.997719548134971
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,0.0487049989258858,0.00369685922378174,0.0413112804783223,0.0560987173734493,0.0476256080882405,0.00523081953271783,0.0371639690228048,0.0580872471536761,0.548122463513539,0.223230644520204,0.101661174473132,0.994583752553946,0.5112713903729,0.0986918353012962,0.313887719770308,0.708655060975493,0.0848958153455509,0.0231279318295846,0.0386399516863816,0.13115167900472,0.986945143371108,0.00762759817772503,0.971689947015658,1.00220033972656
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,0.268297877467138,0.0604855514821038,0.14732677450293,0.389268980431345,0.244468871955924,0.0163234479541365,0.211821976047651,0.277115767864197,0.451102303266289,0.197336427537098,0.0564294481920934,0.845775158340484,0.17357578170754,0.027297324732515,0.118981132242509,0.22817043117257,0.030482967728702,0.00630484610872972,0.0178732755112426,0.0430926599461614,0.928177288940435,0.0127374311739426,0.90270242659255,0.95365215128832
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.271158970264453,0.0420449772449134,0.187069015774626,0.35524892475428,0.918421906474691,0.0983965199258698,0.721628866622951,1.11521494632643,1.30147906281992,0.274394772328437,0.752689518163048,1.8502686074768,1.03641182043463,0.0574438561461022,0.921524108142426,1.15129953272683,0.185736482909804,0.00121602807085426,0.183304426768095,0.188168539051512,0.746140089454722,0.0912639658141548,0.563612157826412,0.928668021083031
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,0.0981599547516347,0.0124850659015112,0.0731898229486122,0.123130086554657,0.088293654492779,0.00388323994570117,0.0805271746013767,0.0960601343841814,0.271811006840215,0.0525002280326404,0.166810550774934,0.376811462905496,0.196819657227175,0.023555472371491,0.149708712484193,0.243930601970157,0.0171851313679796,0.00343913895928027,0.0103068534494191,0.0240634092865402,0.984171757031386,0.00167424652528929,0.980823263980807,0.987520250081964
