"block_label","loading_design","H_true","G_true","n","p","n_reps","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,1000,25,0.111699063094177,0.00492195671149708,0.101855149671183,0.121542976517171
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,1000,25,0.111799096086983,0.00346092772934332,0.104877240628297,0.11872095154567
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,2000,25,0.159748960224088,0.0539056983603521,0.0519375635033839,0.267560356944792
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,2000,25,0.0878028301419318,0.00649264710133576,0.0748175359392603,0.100788124344603
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,2000,25,0.0828325877349502,0.00530551453007554,0.0722215586747991,0.0934436167951013
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,2000,25,0.0812222319980958,0.00300836634327871,0.0752054993115384,0.0872389646846532
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,250,25,0.227432523684188,0.0150254856511276,0.197381552381933,0.257483494986443
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,250,25,0.195033898738645,0.00375567295845569,0.187522552821734,0.202545244655556
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,250,25,0.199416417606864,0.00556592284346951,0.188284571919925,0.210548263293803
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,250,25,0.209586688424252,0.00479443196704617,0.19999782449016,0.219175552358345
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,500,25,0.176153998113932,0.00995309274024164,0.156247812633449,0.196060183594416
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,500,25,0.148564826309195,0.00327444510129472,0.142015936106605,0.155113716511784
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,500,25,0.14558923821523,0.00190419489037493,0.141780848434481,0.14939762799598
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,500,25,0.145533395513408,0.00128210134334519,0.142969192826717,0.148097598200098
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,1000,25,0.146740076169245,0.013634987744479,0.119470100680287,0.174010051658203
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,1000,25,0.110911860164026,0.00358649483312733,0.103738870497772,0.118084849830281
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,1000,25,0.109414944523995,0.0021425751385557,0.105129794246884,0.113700094801107
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,1000,25,0.107992387226344,0.00158740728034145,0.104817572665661,0.111167201787027
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,2000,25,0.126613263414086,0.0140916163254826,0.0984300307631209,0.154796496065051
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,2000,25,0.0883227352091183,0.00411886331730217,0.0800850085745139,0.0965604618437226
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,2000,25,0.0821862642149481,0.00242651678784582,0.0773332306392565,0.0870392977906398
"balanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,2000,25,0.0798440477146928,0.00115295825115971,0.0775381312123734,0.0821499642170122
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,250,25,0.388962835180701,0.117979048318135,0.153004738544432,0.62492093181697
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,250,25,0.232746517116109,0.0077650074743395,0.21721650216743,0.248276532064788
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,250,25,0.233436576377742,0.00914185136236772,0.215152873653006,0.251720279102477
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,250,25,0.250924106486658,0.00602041439635629,0.238883277693945,0.26296493527937
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,500,25,0.321840187603006,0.134705827428449,0.0524285327461079,0.591251842459904
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,500,25,0.17336472839668,0.00671043335442723,0.159943861687826,0.186785595105534
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,500,25,0.169575001754989,0.00526241948545104,0.159050162784087,0.180099840725891
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,500,25,0.171102265481006,0.00423540499993186,0.162631455481143,0.17957307548087
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,1000,25,0.251884370180612,0.0852564117056288,0.0813715467693548,0.42239719359187
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,1000,25,0.13047349004943,0.00591574776121312,0.118641994527003,0.142304985571856
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,1000,25,0.126103645104453,0.00401501190176079,0.118073621300932,0.134133668907975
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,1000,25,0.124097115041044,0.00327616172592431,0.117544791589195,0.130649438492893
