"mixture_scenario","n","p","H","G_config","estimated_vs_oracle_signal_rmse_mean","estimated_vs_oracle_signal_rmse_median","estimated_vs_oracle_signal_rmse_sd","estimated_vs_oracle_signal_rmse_se","estimated_vs_oracle_signal_rmse_n_replications","estimated_vs_oracle_alpha_rmse_mean","estimated_vs_oracle_alpha_rmse_median","estimated_vs_oracle_alpha_rmse_sd","estimated_vs_oracle_alpha_rmse_se","estimated_vs_oracle_alpha_rmse_n_replications","estimated_vs_oracle_linear_predictor_rmse_mean","estimated_vs_oracle_linear_predictor_rmse_median","estimated_vs_oracle_linear_predictor_rmse_sd","estimated_vs_oracle_linear_predictor_rmse_se","estimated_vs_oracle_linear_predictor_rmse_n_replications","estimated_vs_oracle_probability_rmse_mean","estimated_vs_oracle_probability_rmse_median","estimated_vs_oracle_probability_rmse_sd","estimated_vs_oracle_probability_rmse_se","estimated_vs_oracle_probability_rmse_n_replications","estimated_vs_oracle_subspace_distance_mean","estimated_vs_oracle_subspace_distance_median","estimated_vs_oracle_subspace_distance_sd","estimated_vs_oracle_subspace_distance_se","estimated_vs_oracle_subspace_distance_n_replications","estimated_vs_full_oracle_z_rmse_mean","estimated_vs_full_oracle_z_rmse_median","estimated_vs_full_oracle_z_rmse_sd","estimated_vs_full_oracle_z_rmse_se","estimated_vs_full_oracle_z_rmse_n_replications","oracle_lowrank_vs_full_oracle_z_rmse_mean","oracle_lowrank_vs_full_oracle_z_rmse_median","oracle_lowrank_vs_full_oracle_z_rmse_sd","oracle_lowrank_vs_full_oracle_z_rmse_se","oracle_lowrank_vs_full_oracle_z_rmse_n_replications"
"moderate_overlap",200,1000,5,"2-2-2-2-2",0.335260854770584,0.336082531459926,0.00688215243524695,0.00137643048704939,25,0.145243296672191,0.145128482625984,0.00666718620930746,0.00133343724186149,25,0.365395477233186,0.365693006928846,0.00852349483100862,0.00170469896620172,25,0.0564509873594525,0.056576290404047,0.000511729487035268,0.000102345897407054,25,0.0937992239095577,0.0932598714623351,0.00321209283000866,0.000642418566001732,25,1.04737564518091,1.04755297619953,0.00306367386162788,0.000612734772325576,25,0.982136723978484,0.982105380271351,0.00169371038977408,0.000338742077954817,25
"moderate_overlap",200,1000,5,"3-3-3-3-3",0.33605467024537,0.337555766011098,0.0085425798409509,0.00170851596819018,25,0.132253882933741,0.132302215012105,0.0046712478409666,0.00093424956819332,25,0.361157803935316,0.363140873930871,0.00912163060263603,0.00182432612052721,25,0.0599092081280784,0.0598554287517175,0.000653030553205795,0.000130606110641159,25,0.10237520278369,0.103495892240066,0.0048830116305214,0.000976602326104281,25,1.04628367211038,1.04587585224498,0.00343261183294364,0.000686522366588729,25,0.982642083802302,0.982559100415882,0.00116142369522792,0.000232284739045583,25
"moderate_overlap",200,1000,10,"2-2-2-2-2-2-2-2-2-2",0.477415870907442,0.477773387672505,0.00616699671147302,0.0012333993422946,25,0.143267741923386,0.142128070862994,0.00477955796413664,0.000955911592827329,25,0.498467421951155,0.498572857137149,0.0064734960743573,0.00129469921487146,25,0.0812955764097527,0.0814593096097521,0.000682481194004187,0.000136496238800837,25,0.118644543416647,0.119121208859651,0.00277621395488051,0.000555242790976103,25,1.08607279585171,1.0855342513809,0.0031106145058979,0.00062212290117958,25,0.966687027734447,0.966496633719268,0.00126167632551018,0.000252335265102036,25
"moderate_overlap",200,1000,10,"3-3-3-3-3-3-3-3-3-3",0.480853763005814,0.48121765880928,0.007223705262826,0.0014447410525652,25,0.138735663897723,0.139053635071702,0.00421802950720687,0.000843605901441375,25,0.500476929351128,0.501307234635295,0.00776904677505829,0.00155380935501166,25,0.0847506955229611,0.0847191697505069,0.000613863349646346,0.000122772669929269,25,0.124425523214205,0.124525858059656,0.00350163968832717,0.000700327937665434,25,1.08720123363732,1.08676009859591,0.00385736839002563,0.000771473678005126,25,0.967066162338944,0.967075138624574,0.00153210109750798,0.000306420219501597,25
"moderate_overlap",200,1500,5,"2-2-2-2-2",0.328137783511857,0.326037749221088,0.00506262769549913,0.00101252553909983,25,0.149688695082623,0.150148980492349,0.00489461548001694,0.000978923096003388,25,0.360683368438921,0.358408743612804,0.00614258501598168,0.00122851700319634,25,0.0550322142324546,0.0549798548877617,0.000339478794647654,6.78957589295308e-05,25,0.0800024484549216,0.0802573553474712,0.00152247119305303,0.000304494238610606,25,1.04676529341325,1.04608265531562,0.00249565974904373,0.000499131949808746,25,0.983128188103468,0.983285244574473,0.0010389771724707,0.000207795434494139,25
"moderate_overlap",200,1500,5,"3-3-3-3-3",0.324143717525566,0.324928582445848,0.00476674752718604,0.000953349505437209,25,0.132194522215007,0.131200453629485,0.00476391371013317,0.000952782742026634,25,0.350080846070224,0.350077419165302,0.00573209306744451,0.0011464186134889,25,0.0583018928716179,0.0582099984681781,0.000466571497715952,9.33142995431904e-05,25,0.0878252909771692,0.0879560647576786,0.00304943883099546,0.000609887766199092,25,1.04325760485898,1.04391022728799,0.00199093443004005,0.000398186886008011,25,0.983323254677948,0.983173835449379,0.00123544038440382,0.000247088076880765,25
"moderate_overlap",200,1500,10,"2-2-2-2-2-2-2-2-2-2",0.464946755867752,0.465258589973469,0.00453155341364338,0.000906310682728676,25,0.147155258826455,0.146909217762157,0.00500977967158021,0.00100195593431604,25,0.487692876509771,0.487901500107951,0.00555481658521286,0.00111096331704257,25,0.0784236466968463,0.0785302793823697,0.000382550273355483,7.65100546710966e-05,25,0.10347037074815,0.103884724673412,0.00246383349066707,0.000492766698133414,25,1.08356648127036,1.0836653054979,0.00293496314661163,0.000586992629322327,25,0.969048525702234,0.968980283435029,0.00140760294086753,0.000281520588173506,25
"moderate_overlap",200,1500,10,"3-3-3-3-3-3-3-3-3-3",0.457942732310861,0.457502411464811,0.00601121194361832,0.00120224238872366,25,0.137061903289934,0.136937361092236,0.00385249805787374,0.000770499611574747,25,0.47802278628564,0.477652769224237,0.00650837244554819,0.00130167448910964,25,0.0820142488310611,0.0821334253134034,0.000742855101886616,0.000148571020377323,25,0.107463468799123,0.107931518012311,0.00314547575728957,0.000629095151457915,25,1.07887620733036,1.07922962422996,0.00291491521024649,0.000582983042049298,25,0.968695661480643,0.968663905094252,0.00143611050504038,0.000287222101008076,25
"moderate_overlap",200,2000,5,"2-2-2-2-2",0.32207715662274,0.32184936166869,0.00554942304484147,0.00110988460896829,25,0.146771093209021,0.146894958090161,0.00613320168459244,0.00122664033691849,25,0.353964813031698,0.354576552178606,0.00721944163846451,0.0014438883276929,25,0.0543190870943431,0.0543942871584395,0.000325936759614197,6.51873519228395e-05,25,0.0728619637981633,0.0727380910537843,0.00298108795170187,0.000596217590340375,25,1.04467486791416,1.04481337006443,0.00268032135791435,0.000536064271582871,25,0.983316088985452,0.983378870838899,0.00108566330531877,0.000217132661063753,25
"moderate_overlap",200,2000,5,"3-3-3-3-3",0.32152926454841,0.322739535120725,0.00619076605899304,0.00123815321179861,25,0.134237468111713,0.134599595504568,0.00415996434577908,0.000831992869155816,25,0.348439664297244,0.349381695801941,0.00676786238055314,0.00135357247611063,25,0.0575225145772212,0.0575277226157904,0.000473339502204406,9.46679004408812e-05,25,0.0818674050245709,0.0820301184939109,0.00318778240286287,0.000637556480572575,25,1.04329468219964,1.04369026237235,0.0025642043474151,0.000512840869483019,25,0.983885557022566,0.983959208234624,0.00112973582370046,0.000225947164740091,25
