"mixture_scenario","n","p","H","G_config","estimated_z_largest_eigengap_selects_true_H_mean","estimated_z_largest_eigengap_selects_true_H_median","estimated_z_largest_eigengap_selects_true_H_sd","estimated_z_largest_eigengap_selects_true_H_se","estimated_z_largest_eigengap_selects_true_H_n_replications","estimated_z_largest_relative_eigengap_selects_true_H_mean","estimated_z_largest_relative_eigengap_selects_true_H_median","estimated_z_largest_relative_eigengap_selects_true_H_sd","estimated_z_largest_relative_eigengap_selects_true_H_se","estimated_z_largest_relative_eigengap_selects_true_H_n_replications","estimated_z_largest_sv_ratio_selects_true_H_mean","estimated_z_largest_sv_ratio_selects_true_H_median","estimated_z_largest_sv_ratio_selects_true_H_sd","estimated_z_largest_sv_ratio_selects_true_H_se","estimated_z_largest_sv_ratio_selects_true_H_n_replications","estimated_z_eigengap_at_true_H_mean","estimated_z_eigengap_at_true_H_median","estimated_z_eigengap_at_true_H_sd","estimated_z_eigengap_at_true_H_se","estimated_z_eigengap_at_true_H_n_replications","estimated_z_relative_eigengap_at_true_H_mean","estimated_z_relative_eigengap_at_true_H_median","estimated_z_relative_eigengap_at_true_H_sd","estimated_z_relative_eigengap_at_true_H_se","estimated_z_relative_eigengap_at_true_H_n_replications","estimated_z_sv_ratio_at_true_H_mean","estimated_z_sv_ratio_at_true_H_median","estimated_z_sv_ratio_at_true_H_sd","estimated_z_sv_ratio_at_true_H_se","estimated_z_sv_ratio_at_true_H_n_replications","eigengap_diagnostic_seconds_mean","eigengap_diagnostic_seconds_median","eigengap_diagnostic_seconds_sd","eigengap_diagnostic_seconds_se","eigengap_diagnostic_seconds_n_replications"
"moderate_overlap",100,1000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.186802161930661,0.187520457865703,0.0221720253307118,0.00443440506614236,25,0.58783399783732,0.584287595905757,0.0325553886349524,0.00651107772699048,25,1.56112631543837,1.55097039613392,0.0615723561794651,0.012314471235893,25,1.77795999999944,1.77300000000105,0.026799378103065,0.00535987562061301,25
"moderate_overlap",100,1000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.179626670097632,0.181879975291082,0.0270012321918225,0.00540024643836451,25,0.571250989690889,0.581438249578337,0.0436775792176404,0.00873551584352808,25,1.5329139140862,1.54568228931698,0.0780677340269478,0.0156135468053896,25,1.75252000000095,1.75100000000384,0.0111210011519238,0.00222420023038476,25
"moderate_overlap",100,1500,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.419124138598027,0.420529844553693,0.0350497571741011,0.00700995143482022,25,0.739067824515837,0.740546056019196,0.0186579508608851,0.00373159017217702,25,1.96136717227402,1.96322403169924,0.0720558615979095,0.0144111723195819,25,2.54883999999999,2.54300000000012,0.0150240917640067,0.00300481835280134,25
"moderate_overlap",100,1500,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.361127605025243,0.35053998462717,0.0483597458462215,0.0096719491692443,25,0.679579081351795,0.680814264653724,0.0391910196820396,0.00783820393640792,25,1.77617976960895,1.77002036396571,0.109135608040675,0.021827121608135,25,2.53356,2.53000000000065,0.0129938446966976,0.00259876893933952,25
"moderate_overlap",100,1500,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.185135600450038,0.181977547709263,0.0158438828567496,0.00316877657134992,25,0.600571114136368,0.596333426342495,0.0209279675195176,0.00418559350390353,25,1.58381081503031,1.57394156988987,0.0409713531393826,0.00819427062787653,25,2.56032000000065,2.56299999999464,0.0331985441453383,0.00663970882906767,25
"moderate_overlap",100,1500,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,0.92,1,0.276887462097269,0.0553774924194538,25,0.92,1,0.276887462097269,0.0553774924194538,25,0.160310017043927,0.154846674586738,0.0255773836263172,0.00511547672526343,25,0.545766479527859,0.552442725138672,0.0494322626894974,0.00988645253789948,25,1.49024346151421,1.4947745315767,0.0829156341745962,0.0165831268349192,25,2.54388000000035,2.54200000000128,0.0145439563628858,0.00290879127257716,25
"moderate_overlap",100,2000,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.38183170045279,0.381711842964159,0.0339109927036611,0.00678219854073222,25,0.727492739471695,0.729146080856665,0.0207062574690839,0.00414125149381678,25,1.91933129930558,1.92146482259983,0.0685197451171165,0.0137039490234233,25,3.32896000000001,3.33099999999968,0.0195522377236244,0.00391044754472487,25
"moderate_overlap",100,2000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.349924647331715,0.358140728233864,0.0450396668618772,0.00900793337237545,25,0.675552507067483,0.678543272678031,0.0369177377622883,0.00738354755245766,25,1.76358113855085,1.7637569599412,0.0980347116198643,0.0196069423239729,25,3.34347999999969,3.33600000000297,0.0257117353231313,0.00514234706462625,25
"moderate_overlap",100,2000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.187620888039784,0.187969775634508,0.0208078431089779,0.00416156862179559,25,0.612860230363945,0.620096949798128,0.0318483445720189,0.00636966891440377,25,1.61104629493093,1.62242118951906,0.0654281666601882,0.0130856333320376,25,3.33928000000014,3.32600000000093,0.0489400313294889,0.00978800626589778,25
"moderate_overlap",100,2000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.162392910699111,0.160294918339687,0.0217236548881962,0.00434473097763923,25,0.562922823859565,0.564334252889703,0.043741480475723,0.00874829609514461,25,1.51795252664311,1.51503718370239,0.0747900573515717,0.0149580114703143,25,3.32099999999802,3.31699999999546,0.017839562774009,0.0035679125548018,25
